Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
Les Ambassadeurs Casino,811,850,1044,1013,968,482,87,5255
ARC Le Salon,729,618,712,865,706,916,708,5254
Cote - Kensington,627,606,870,621,780,838,911,5253
Slug & Lettuce Tower Bridge,417,654,681,927,1023,1051,487,5240
Sofra,737,708,735,755,747,840,704,5226
Franco's,792,994,942,1040,883,575,0,5226
Brasserie Max,519,676,781,919,835,841,633,5204
Millie's Lounge,519,559,836,955,881,684,768,5202
"The Signal Box, Euston",801,525,688,862,1000,754,569,5199
Mile End American Pool & Snooker,665,727,789,709,732,797,729,5148
ROKA Mayfair,731,702,827,837,823,572,652,5144
The Stanhope Arms,567,635,717,747,859,975,617,5117
Bluebird,426,545,697,816,856,1100,676,5116
Merkato,764,649,717,751,896,674,660,5111
Canova Hall,516,570,617,752,802,1015,838,5110
The Ivy St. John's Wood,669,668,721,627,737,787,900,5109
Cacciari's Restaurant,556,616,616,888,889,837,675,5077
Kitchen at Holmes,516,736,784,738,878,797,622,5071
"The Mad Bishop & Bear, Paddington",517,593,729,708,946,754,820,5067
The London and South Western,494,579,685,691,951,1017,648,5065
Chapter Coffee Roasters,696,726,556,784,965,817,520,5064
Flight Club Bloomsbury,555,664,590,753,908,992,595,5057
Franklin's Wine,556,503,977,757,839,905,505,5042
The Gate Clock - JD Wetherspoon,658,544,613,686,817,995,729,5042
Cote - Sloane Square,502,689,742,743,691,899,771,5037
Plate Restaurant,688,770,913,817,824,675,345,5032
"Caravan City | Outdoor Dining, Takeaway & Coffee",563,717,917,1011,662,748,408,5026
Aviary - Rooftop Restaurant & Terrace Bar,459,619,766,791,902,911,568,5016
Lamb & Flag,600,668,644,738,834,875,650,5009
CasaCosta Italian Shop with Speakeasy Restaurant,740,670,682,712,979,761,462,5006
Cote - Barbican,688,653,728,730,634,882,683,4998
31 below,514,579,592,826,856,916,713,4996
The Alchemist St Martins Lane,553,522,609,717,875,998,720,4994
Cafe Brera,672,667,721,749,662,776,743,4990
28-50 Wine Workshop & Kitchen,614,710,706,826,869,851,405,4981
Spread Eagle,548,666,636,738,826,917,646,4977
Stanley's,541,752,742,836,721,829,537,4958
Gordon Ramsay Bar & Grill,609,570,658,747,882,917,574,4957
O'Neills Great Marlborough Street,438,481,596,763,950,962,760,4950
Pedley Street Station,0,720,753,781,974,837,877,4942
Flight Club Shoreditch,545,624,657,791,848,959,517,4941
All Bar One Covent Garden,526,497,556,784,793,1030,753,4939
Lina Stores King's Cross,588,685,702,855,744,778,584,4936
Isabel Mayfair,496,698,836,992,959,812,137,4930
The Pommelers Rest - JD Wetherspoon,424,542,646,647,794,1155,719,4927
Ajd Wetherspoon Free House,510,586,688,683,743,992,714,4916
The Nickel Bar,551,655,763,823,820,810,492,4914
The Library Bar,551,655,763,823,820,810,492,4914
Giraffe,572,543,544,647,736,1040,831,4913
Billionaire lounge,563,977,804,676,872,478,534,4904
"Caravan Bankside | Outdoor Dining, Takeaway & Coffee",569,645,761,853,683,846,544,4901
The Botanist Sloane Square,425,676,574,699,875,1064,568,4881
Apadana Persian Restaurant مطعم ابادانا الإيراني,622,662,803,667,886,634,605,4879
1 Lombard Street,716,927,973,1019,890,338,0,4863
The Grazing Goat Marylebone,375,579,636,741,825,898,807,4861
It's All Greek to Me,533,652,657,724,648,824,812,4850
Slug & Lettuce Hanover Street,418,517,753,734,926,1027,445,4820
S L B Bar,628,711,554,637,575,922,785,4812
Paxtons Head,417,534,595,673,824,950,816,4809
Flight Club,476,569,639,676,815,1015,617,4807
Grind,483,605,787,830,803,856,442,4806
Natural Kitchen,723,832,788,897,611,458,496,4805
The Alchemist Bevis Marks,467,576,618,801,848,1030,457,4797
Aqua Shard,548,568,589,712,822,825,717,4781
MEATliquor W1,545,521,607,707,700,988,700,4768
The Cyclist,498,448,630,594,790,1070,737,4767
The London & Rye,570,574,642,679,892,750,649,4756
Notes Coffee Roasters & Bar,534,561,776,877,738,696,572,4754
The Beehive - JD Wetherspoon,507,495,588,636,850,980,698,4754
Casa Tua Camden,586,463,650,740,740,910,662,4751
Coco Momo Kensington,433,587,559,762,793,868,738,4740
Disrepute,397,600,630,766,851,866,623,4733
Joiners Arms,440,459,559,565,865,1061,780,4729
Earl Of Derby,619,651,818,718,706,730,482,4724
The Cedar,620,551,696,591,668,742,854,4722
East Dulwich Picturehouse & Cafe,709,562,620,564,579,869,818,4721
The Masque Haunt,482,551,638,781,936,812,503,4703
Eight Members Club Moorgate,776,905,1027,1220,732,35,0,4695
Scootercaffe,460,504,700,646,702,1046,635,4693
Fox & Anchor Pub,497,481,734,793,837,762,586,4690
Gordon's Wine Bar,596,571,681,652,773,871,539,4683
Brasserie Blanc,454,648,734,696,727,853,571,4683
Park Lane Club,700,552,551,710,717,714,738,4682
The Brockley Barge,513,527,636,678,861,827,636,4678
The Happenstance,472,801,909,964,809,627,95,4677
Cote - Wimbledon,515,526,584,694,718,812,826,4675
Laki Kane Cocktail Bar & Thai Restaurant Islington,442,364,464,457,723,1164,1060,4674
Tony's Pita Swiss Cottage,531,640,584,661,763,675,819,4673
The Waterway,510,609,499,630,730,948,735,4661
Curzon Victoria,584,554,622,601,645,815,837,4658
Chapter 72,486,506,656,714,741,936,614,4653
The Thomas Cubitt Pub Belgravia,508,592,716,832,739,680,584,4651
Motcombs,616,734,814,790,528,594,570,4646
The Sterling in the Gherkin,631,833,987,1072,688,278,155,4644
Drunch,591,435,460,747,610,840,957,4640
Nags Head Peckham,499,473,624,630,831,889,692,4638
Radish Events,555,714,842,745,773,570,435,4634
Mthr,516,333,426,630,774,1034,918,4631
"The Churchill Arms, Kensington",571,572,616,652,743,856,616,4626
Curzon Mayfair,549,712,671,623,586,778,702,4621
Flight Club Victoria,437,600,681,696,792,859,541,4606
Balans West,654,539,531,671,714,951,545,4605
Hoop & Toy,474,453,686,708,792,890,595,4598
Ognisko Restaurant,542,545,532,714,692,826,738,4589
The Bull,557,526,588,654,765,814,679,4583
"The Red Lion, Parliament Street",539,648,742,740,679,720,515,4583
The Buxton,274,534,588,771,940,912,560,4579
Bar Termini,520,557,598,616,791,863,625,4570
Heddon Street Kitchen,515,610,817,915,877,126,702,4562
The Fox and Pheasant,332,540,609,657,688,883,852,4561
Refuel Bar & Restaurant,418,578,777,911,697,691,488,4560
Oscar Bar & Restaurant,432,557,678,584,800,833,674,4558
The Capitol - JD Wetherspoon,525,564,580,603,902,824,556,4554
Tuttons,488,515,650,667,652,856,725,4553
The Oyster Rooms - JD Wetherspoon,495,559,736,696,717,712,633,4548
The Parsons Green Sports & Social Club,746,793,608,758,564,488,588,4545
Dumplings' Legend,455,500,474,550,686,1059,814,4538
Cote - Covent Garden,485,665,612,573,935,735,529,4534
The Lighterman,402,474,590,714,743,906,702,4531
The East Hill,426,496,563,640,853,733,814,4525
The Garrison,453,578,705,575,748,778,682,4519
Duke on the Green,407,579,522,605,829,856,719,4517
The Moretown Belle,295,476,595,723,772,843,809,4513
The White Swan - JD Wetherspoon,492,559,618,630,831,875,507,4512
Courtfield,413,521,593,569,785,943,687,4511
Dirty Bones Soho,488,627,607,736,693,790,568,4509
The Bunch Of Grapes,530,545,608,558,754,881,623,4499
The Ice Wharf,431,462,477,538,778,1119,692,4497
Butlers Wharf Chop House,408,601,588,719,678,820,678,4492
The Metropolitan Bar,426,506,586,668,895,869,540,4490
"The Star Tavern, Belgravia",564,546,589,606,758,799,627,4489
Fox on the Hill - JD Wetherspoon,449,556,528,621,901,858,576,4489
Globe,383,509,640,723,812,859,560,4486
The Elephants Head,483,430,616,490,720,981,758,4478
Clean Heart Coffee & Organics,482,648,749,797,665,634,500,4475
Steam Passage,396,397,564,532,826,1021,735,4471
Little Crown,564,581,615,648,871,771,418,4468
Sofra Restaurant Mayfair,553,239,848,915,531,440,937,4463
The Camden Eye,399,374,542,605,713,1063,764,4460
Old Swan,358,430,546,635,775,1069,644,4457
The Alma,445,523,622,641,937,740,547,4455
Cote - Soho,444,441,624,694,684,858,705,4450
Craven Gardens Bar,619,753,563,681,553,789,490,4448
Comptoir Cafe & Wine,0,812,880,1025,781,950,0,4448
Mortimer House Kitchen,511,913,937,973,616,498,0,4448
The Salisbury Pub,474,433,534,577,740,1019,671,4448
The Phene,418,515,588,689,744,865,627,4446
Beluga Persian Grill & Bar,339,586,639,562,683,831,804,4444
Greyhound,414,659,801,1010,809,521,227,4441
No 32 The Old Town,441,459,441,531,731,1064,770,4437
M Victoria Street,413,708,638,1026,830,819,0,4434
Molly Blooms,516,570,558,661,631,883,612,4431
LSQ Rooftop - Leicester Square,524,479,703,694,606,1005,415,4426
Blacks Club,580,706,750,785,823,781,0,4425
Millers,383,595,565,696,757,804,624,4424
Court Tottenham Ct Rd London,408,487,576,672,860,739,681,4423
Shakespeares Head,463,533,529,552,713,953,678,4421
Fitzrovia Belle,434,623,659,740,872,545,545,4418
Burger & Lobster Mayfair,536,494,604,698,765,740,577,4414
Goodman's Field - JD Wetherspoon,472,473,522,618,881,897,551,4414
Burger & Lobster - Bond Street,578,539,529,638,705,732,691,4412
Draughts - Waterloo,413,455,566,578,597,1040,763,4412
Rose & Crown,595,538,432,762,753,737,592,4409
Estrela Bar,606,0,606,553,772,1092,777,4406
Laryn Cafe Bar,570,431,551,579,757,945,572,4405
Canton Element,555,613,545,639,714,743,591,4400
Dehesa,532,567,658,615,712,712,603,4399
Bocca di Lupo,584,724,713,633,700,520,525,4399
Burger & Lobster Knightsbridge,570,511,564,585,653,871,637,4391
Cote - St Christopher's Place,431,538,649,569,710,759,732,4388
Henry's Cafe Bar Piccadilly,429,538,646,719,856,785,414,4387
The Builders Arms,444,464,555,634,876,809,602,4384
COYA City,0,884,847,988,816,847,0,4382
By the Bridge Cafe,548,494,417,685,651,887,692,4374
The Black Cab Coffee Co,531,603,607,568,583,820,654,4366
José,510,529,710,719,657,696,544,4365
Big Easy Bar BQ & Crabshack,366,402,604,654,719,910,709,4364
"The Victoria, Paddington",431,487,572,655,762,752,700,4359
No 11 Pimlico Road,308,443,563,861,572,987,625,4359
Phoenix Chelsea,438,507,536,686,641,805,743,4356
Browns Covent Garden,262,552,651,656,724,948,561,4354
Hutong,450,526,677,634,654,693,719,4353
The shard,450,526,677,634,654,693,719,4353
Curzon Wimbledon,476,481,657,506,610,884,735,4349
The Gate Marylebone,552,493,574,645,706,838,541,4349
1751 Distillery Bar & Kitchen,466,537,615,716,643,906,463,4346
Selfridges,612,587,604,646,625,758,507,4339
Forty Dean Street,443,635,618,732,724,666,520,4338
Belushi's Shepherd's Bush,501,494,553,671,762,693,659,4333
M Threadneedle Street,355,697,877,1099,756,522,27,4333
The Rockingham Arms,519,535,526,571,870,815,495,4331
Bella Italia - St Martins Lane,530,483,569,546,640,792,764,4324
The Northumberland Arms,429,696,594,731,766,678,424,4318
The Plough,459,532,518,659,780,846,523,4317
The Sir John Oldcastle,337,560,655,865,959,668,267,4311
Kings Arms,368,474,670,784,770,664,579,4309
Bag O'Nails,343,536,555,607,710,912,645,4308
Poppies Fish & Chips,511,511,489,628,677,763,724,4303
London Snooker,669,533,549,587,558,667,739,4302
Nirvana Bar,616,596,404,520,732,760,668,4296
The Coach Makers Arms Pub Marylebone,359,468,564,804,784,833,484,4296
Ain't Nothin But The Blues Bar,483,458,527,606,595,898,729,4296
The Half Moon - JD Wetherspoon,511,506,619,658,828,682,488,4292
Bunch of Grapes,373,474,582,760,773,849,480,4291
Leicester Arms,369,441,578,703,702,992,495,4280
The Bloomsbury Club,490,486,454,566,744,982,558,4280
The Coral Room,490,486,454,566,744,982,558,4280
ROKA Charlotte Street,424,583,629,689,719,725,510,4279
Shochu Lounge,424,583,629,689,719,725,510,4279
Avanti West Coast First Class Lounge,847,500,495,681,819,334,601,4277
ROKA Canary Wharf,489,515,590,668,673,669,673,4277
MEATliquor Queensway,520,476,593,577,639,852,617,4274
Swingers Crazy Golf - West End,0,0,849,909,834,1006,674,4272
The French House,430,572,620,743,750,765,391,4271
Cubana Restaurant Waterloo,316,429,515,640,792,1048,531,4271
The Asparagus,475,442,529,571,842,808,603,4270
The Asparagus,475,442,529,571,842,808,603,4270
Mevali Shisha Bar,543,652,589,675,621,525,663,4268
Badger Badger,355,374,636,536,899,878,588,4266
Prince of Wales,359,518,517,625,773,854,618,4264
"The Old Bank, Battersea",303,422,608,596,738,969,628,4264
All Bar One Charing Cross,0,722,784,809,795,748,397,4255
Argyll Arms London W1,474,474,518,600,736,926,525,4253
Rising Sun,319,417,570,573,732,926,716,4253
Cote - St Martin's Lane,489,527,576,682,604,816,558,4252
Peckham Levels,383,462,489,519,824,1017,558,4252
PJ's Chelsea Brasserie,354,360,474,675,792,985,610,4250
Long Acre,391,428,551,585,727,1009,559,4250
The Grenadier,328,528,465,737,742,802,646,4248
QUEENS,514,476,555,540,571,907,683,4246
Leinster Arms,444,531,442,604,784,740,697,4242
The Hyde Bar at The Park Tower Knightsbridge,451,511,643,651,665,786,524,4231
Megan's Kings Road Restaurant (Chelsea),464,486,506,505,669,945,651,4226
Sawyers Arms,453,525,552,649,732,774,540,4225
Mildreds Camden,441,504,525,507,595,880,765,4217
Christopher's,0,570,649,765,783,1068,378,4213
Hans' Bar & Grill,540,455,667,642,551,834,521,4210
Engineer London Nw1,399,447,491,602,715,854,692,4200
Hornimans At Hays Tooley St,429,428,483,714,771,827,545,4197
Philglas & Swiggot,543,543,795,822,574,494,425,4196
Brockley Jack,442,570,572,646,808,715,441,4194
Bucks Head,345,360,385,498,717,1153,735,4193
"The Albert, Old Ford",448,507,547,477,788,818,604,4189
Brasserie Zédel,279,537,625,672,712,862,500,4187
Gallipoli Cafe & Bistro,354,444,502,557,724,864,741,4186
The Rosendale,413,419,505,491,689,908,759,4184
The Dugout at Belushi's Sports Bar,399,373,469,517,589,1041,796,4184
The Bolingbroke,364,350,599,619,716,827,707,4182
"The Harp, Covent Garden",356,516,691,672,776,883,284,4178
Greenberry Café,343,575,550,628,617,925,539,4177
The Founder's Arms,373,423,508,621,701,939,612,4177
Cafe Barca,485,485,504,536,773,964,429,4176
Kanishka by Atul Kochhar,508,583,625,673,701,532,554,4176
"The Hyde Restaurant, Bar & Hyde Garden",512,515,530,601,605,864,547,4174
Builders Arms Kensington,438,520,533,663,668,698,648,4168
Shakespeare,359,495,567,653,763,812,519,4168
Tuck Shop,0,711,727,782,728,709,511,4168
The American Bar,455,531,600,737,760,690,394,4167
The Grapes,615,503,431,539,657,763,659,4167
Cote - St Paul's,574,623,762,630,646,598,333,4166
The Spencer,558,457,550,479,672,729,720,4165
Duke of Kendal,459,429,422,676,721,755,703,4165
Boisdale of Belgravia,335,658,901,951,801,518,0,4164
Gazette Battersea,494,533,598,503,741,684,608,4161
Wahaca Covent Garden,469,457,600,566,581,784,702,4159
Marlborough Head,376,440,462,685,727,848,615,4153
The Good Mixer,396,427,494,586,733,943,570,4149
The Windsor Castle Pub,534,557,569,750,671,643,423,4147
MEATliquor East Dulwich,446,449,519,539,728,948,516,4145
Essenza Ristorante italiano,554,485,506,552,679,728,640,4144
The Parlour,408,583,717,919,770,533,214,4144
Flying Horse London W1,472,423,469,594,701,980,503,4142
Vinoteca King's Cross,391,455,637,631,616,824,586,4140
Enoteca,391,455,637,631,616,824,586,4140
Hazev Restaurant,430,471,518,701,706,674,634,4134
Southwark Tavern London Se1,359,502,580,730,793,799,370,4133
The Albert,404,448,581,749,674,751,525,4132
The Ivy Market Grill,441,434,516,630,610,860,640,4131
Bush Theatre,538,720,858,651,656,706,0,4129
Clachan Regent Street,391,501,505,682,694,855,500,4128
Fire Station,386,514,516,669,727,915,393,4120
The Clarence,384,504,571,687,659,867,447,4119
Montagu Pyke - JD Wetherspoon,436,445,483,534,735,924,559,4116
Browns Butlers Wharf,374,390,400,678,682,942,649,4115
The Black Dog,442,450,610,671,729,715,496,4113
Bedales of Borough Market,376,471,686,691,749,837,300,4110
All Bar One Holborn,370,422,581,740,653,900,440,4106
NOPI,548,492,726,670,852,817,0,4105
The Pig's Head,273,329,677,590,664,853,717,4103
Sherlock Holmes,377,449,445,634,687,950,557,4099
Milk Beach,0,589,687,608,700,896,618,4098
Flat Iron,420,523,575,617,613,810,540,4098
Mr Fogg's Residence & Secret Garden,284,413,557,689,874,935,345,4097
Horse & Guardsman,316,464,630,623,716,856,488,4093
The Jugged Hare,317,557,635,667,597,678,640,4091
New Fridays,487,431,494,480,624,902,672,4090
Crol and Co London Bridge,448,584,665,725,596,647,424,4089
Famous Cock Tavern,397,374,477,572,752,1025,491,4088
The Railway,320,423,492,516,819,833,683,4086
BrewDog Soho,366,478,560,654,746,891,390,4085
601 Queen's Rd,352,391,480,579,826,903,551,4082
Tapas Brindisa Soho,36,602,565,762,644,751,719,4079
The Rooftop,322,415,578,700,582,968,513,4078
Pappa Ciccia Fulham High Street,744,602,497,481,505,519,729,4077
The Morpeth Arms,500,546,622,782,607,554,466,4077
"The Surprise, Chelsea",412,423,624,605,557,942,512,4075
Red Dog Saloon - Soho Restaurant,429,537,503,524,756,721,602,4072
PIX Carnaby,448,543,602,682,689,741,363,4068
Camden Beer Hall,458,490,546,610,758,739,465,4066
Bar Liber,367,696,897,354,612,914,220,4060
Holborn Dining Room,275,503,570,691,697,795,522,4053
Fountains Abbey,458,550,511,538,732,721,533,4043
Change Please Coffee Elephant Park,644,619,630,613,624,510,394,4034
Bella Italia - Queensway 110,476,469,433,474,717,774,690,4033
Perfect Blend,562,421,473,608,605,818,545,4032
Windsor Castle Kensington,374,380,425,612,786,820,633,4030
The Running Horse,359,816,892,1034,658,261,10,4030
Giraffe,433,553,513,563,548,767,653,4030
Aqua Nueva,361,467,502,669,722,867,441,4029
The Real Greek - Westfield Stratford City,490,487,517,531,656,735,610,4026
The Boot & Flogger,403,541,691,664,735,737,252,4023
Mabel's Tavern,347,469,452,614,754,746,639,4021
Café Piazza,406,478,511,561,512,849,698,4015
The Wentworth Arms,381,360,556,637,553,822,704,4013
180 House,350,439,564,808,747,655,449,4012
All Bar One Waterloo,365,497,486,583,834,827,419,4011
Drake & Morgan at King's Cross,382,506,620,716,800,709,276,4009
Beaufort House Chelsea,236,332,445,572,715,1016,691,4007
"Casa Manolo, Chelsea",201,579,621,525,624,661,792,4003
Round Table,324,501,511,578,662,923,502,4001
The Bricklayers Arms,519,295,373,482,721,738,873,4001
Blue Posts,410,415,414,598,748,847,567,3999
Tapas Brindisa Battersea,184,713,710,400,715,625,651,3998
Vapourz Lounge | Vape Shop Tooting Broadway,687,710,468,700,633,389,410,3997
Polpo Soho,395,500,608,726,622,807,338,3996
Casa Blue,341,240,399,561,580,1040,834,3995
Kings Head,406,518,526,485,616,813,626,3990
The Wheatsheaf,348,492,585,681,757,785,342,3990
The Weatsheaf,348,492,585,681,757,785,342,3990
"The Swan, Hyde Park",334,490,511,493,691,814,656,3989
The Regent,319,334,460,527,560,924,862,3986
Wingmans,416,535,525,598,614,775,521,3984
Century Club | Private Members' Club Soho,0,750,840,897,795,630,71,3983
Westow House,392,387,488,558,733,754,667,3979
Elephant & Castle Kensington,432,627,559,686,554,700,420,3978
Albion,516,457,555,594,529,665,662,3978
BoysnBerry,520,532,472,521,518,711,700,3974
Casa Tua King's Cross,462,454,466,476,687,771,658,3974
The County Arms,319,386,552,658,661,774,623,3973
All Bar One New Oxford St Lond,347,491,461,585,739,936,414,3973
The Ship Tavern,357,435,581,701,658,714,527,3973
The Riverside,295,549,637,740,636,616,499,3972
Cock & Lion,478,600,489,605,677,692,429,3970
Sophie's Soho,364,394,468,649,768,888,439,3970
The Nott,396,545,531,520,737,614,624,3967
parlez,448,393,506,521,659,829,606,3962
The Shipwrights Arms,337,450,599,732,752,765,326,3961
The Lewisham Tavern,373,486,449,606,626,860,555,3955
Salt Yard,578,568,698,715,584,650,160,3953
Double Shot Covent Garden,0,476,601,695,733,915,529,3949
Five Bells,333,470,491,482,586,821,760,3943
Swingers Crazy Golf - City,0,0,693,870,824,1056,496,3939
The White Horse,641,689,602,591,747,667,0,3937
Electric Shuffle London Bridge,371,489,504,598,711,851,410,3934
"The Barrowboy & Banker, SE1",318,419,493,657,729,893,423,3932
Alice House Queen's Park,418,410,414,483,681,961,564,3931
Kingpin Suite,421,456,436,620,802,477,714,3926
The Larrik,360,487,517,718,649,612,582,3925
The Abingdon,416,426,475,633,628,596,747,3921
The Gloucester Arms,280,433,473,581,758,691,704,3920
Scarpetta - Canary Wharf,426,637,694,592,536,557,477,3919
Genesis Cinema,572,449,588,604,516,625,560,3914
Champion Bayswater Road,417,538,506,618,595,643,596,3913
Electric Shuffle Canary Wharf,298,457,543,566,664,868,516,3912
Yamal Alsham,510,427,459,543,664,799,508,3910
The Dolphin,394,502,505,506,785,669,549,3910
The Alchemist Old Street,386,352,487,596,679,943,467,3910
Dirty Dicks,281,390,517,642,770,827,482,3909
Louie Louie,351,566,564,633,782,751,260,3907
Coach & Horses,498,486,496,596,612,864,353,3905
Koha Restaurant & Bar,429,525,561,715,575,696,403,3904
The Salt Whisky Bar and Dining Room,440,438,511,544,652,732,586,3903
Coopers Arms,337,425,556,679,538,805,559,3899
The Surrey Docks,436,416,448,521,757,775,546,3899
Massis,450,534,627,743,545,547,452,3898
Whirled Cinema,384,322,515,236,575,941,925,3898
The Refinery,377,508,607,829,629,668,279,3897
La Goccia Covent Garden,0,499,729,777,661,861,370,3897
The Beast of Brixton,187,261,321,506,908,1020,692,3895
Penderel's Oak - JD Wetherspoon,296,481,485,701,810,697,425,3895
Apero Restaurant & Bar,315,438,453,496,716,845,631,3894
Bar + Block Steakhouse Aldgate,439,482,513,603,566,687,604,3894
Lowlander Grand Cafe,375,406,603,581,635,835,457,3892
Goat Tavern,360,416,414,507,742,883,566,3888
Cafe Murano St James,535,511,625,727,616,873,0,3887
Old George Bethnal Green,273,287,568,502,714,894,649,3887
"The Antelope, Belgravia",438,456,606,669,734,754,229,3886
Caldesi In Marylebone - Italian Restaurant,548,550,605,604,609,721,246,3883
Cafe Pacifico,294,352,456,606,658,903,612,3881
Hard Rock Cafe,468,456,466,508,577,806,598,3879
The Knights Templar,501,525,637,839,927,448,0,3877
Junkyard Golf Club Worship Street,280,345,444,657,747,960,444,3877
Pig & Whistle,342,426,638,502,742,633,592,3875
Haozhan,487,459,360,589,585,806,587,3873
The Ring,371,455,638,735,698,687,289,3873
Queens Arms,371,392,531,710,673,576,618,3871
The Blue Posts,384,545,503,781,695,625,336,3869
Noble Rot Lamb's Conduit,520,638,676,792,621,620,0,3867
Hand in Hand,440,445,427,442,556,801,755,3866
Wright Brothers Battersea,341,388,396,511,651,931,648,3866
The Exmouth Arms,204,366,578,721,790,844,362,3865
Ciro's Pizza Pomodoro -Italian Restaurant & Bar,547,527,429,514,592,659,596,3864
Hope Smithfield,384,454,647,672,627,683,396,3863
The Dartmouth Arms,381,385,515,531,746,776,527,3861
Mario's,457,481,557,527,570,897,372,3861
Ishbilia Lebanese Restaurant,490,479,497,498,534,708,652,3858
The Boathouse,356,444,398,457,754,871,577,3857
The Devonshire Arms,471,525,481,621,642,650,467,3857
Gazette Trinity,484,400,555,645,667,710,388,3849
Chelsea Ram,317,477,516,470,598,859,611,3848
